birth_date,birth_time,place,lagna,sun,moon,mars,mercury,jupiter,venus,saturn,rahu,ketu,question,prediction
07:15,Pokhara, Nepal,Capricorn,Aquarius,Cancer,Libra,Virgo,Sagittarius,Scorpio,Capricorn,Gemini,Sagittarius,Career?,Saturn in 10th: Govt job after 2026. Wear blue sapphire.
14:30,Kathmandu, Nepal,Leo,Gemini,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Marriage?,Jupiter in 7th: Love marriage 2025. Wear yellow clothes.
09:45,Biratnagar, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Health?,Moon in 6th: Watch stomach. Chant Mahamrityunjaya.
06:20,Kathmandu, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Love Life?,Venus in Capricorn: True love after delay. Offer white flowers.
15:45,Pokhara, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Job?,Mars in 10th: Engineering job 2025. Chant Hanuman Chalisa.
09:10,Biratnagar, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Health?,Rahu in 6th: Stomach issues. Chant 11 times Mahamrityunjaya.
12:00,Chitwan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Studies?,Mercury in Lagna: Scholarship 2025. Donate yellow book.
04:30,Butwal, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Wealth?,Jupiter in 2nd: Wealth after 30. Donate banana.
17:55,Dharan, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Marriage?,Venus in 7th: Love marriage 2026. Offer curd.
08:15,Lalitpur, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,Career?,Saturn Dasha: IT job 2027. Feed crows.
13:20,Nepalgunj, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Business?,Mercury in 10th: Partnership 2025. Donate green cloth.
10:45,Janakpur, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Future?,Mars in Lagna: Foreign after 28. Wear red sandalwood.
07:00,Hetauda, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Family?,Moon in 4th: Happy mother. Offer milk on Monday.
11:20,Kathmandu, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Career?,Sun in 10th: Promotion 2026. Offer water to Sun.
05:30,Pokhara, Nepal,Virgo,Cancer,Libra,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Marriage?,Venus in 7th: Happy spouse. Wear diamond.
16:45,Biratnagar, Nepal,Pisces,Sagittarius,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Health?,Ketu in 6th: Skin issues. Chant Ganesha.
09:00,Chitwan, Nepal,Libra,Virgo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Studies?,Jupiter in 5th: Top rank 2025. Donate books.
13:15,Butwal, Nepal,Capricorn,Libra,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Wealth?,Saturn in 2nd: Savings grow. Keep iron box.
08:30,Dharan, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Love Life?,Moon in 5th: Romantic partner. Offer sweets.
10:10,Lalitpur, Nepal,Leo,Gemini,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Job?,Mars in 6th: Win competition. Wear red coral.
14:20,Kathmandu, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Career?,Rahu in 10th: Sudden fame. Keep silver coin.
06:00,Pokhara, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Marriage?,Jupiter in Lagna: Wise partner. Wear yellow sapphire.
12:30,Biratnagar, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Health?,Saturn in 6th: Long life. Donate oil.
15:45,Chitwan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Studies?,Mercury in 5th: Exam success. Feed birds.
07:15,Butwal, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Future?,Sun in 1st: Leadership role. Chant Gayatri.
11:11,Dharan, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Love Life?,Venus in 5th: Creative lover. Gift perfume.
09:30,Lalitpur, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Wealth?,Moon in 2nd: Family wealth. Offer milk.
13:20,Kathmandu, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Job?,Mars in 10th: Action job. Wear red thread.
16:00,Pokhara, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Business?,Mercury in 7th: Trade success. Donate pen.
08:45,Biratnagar, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,Family?,Jupiter in 4th: Happy home. Plant tulsi.
10:15,Chitwan, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Health?,Ketu in 12th: Eye care. Donate blanket.
14:30,Butwal, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Career?,Saturn in 10th: Stable job. Feed ants.
05:00,Dharan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Marriage?,Venus in 11th: Rich spouse. Wear opal.
12:12,Lalitpur, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Studies?,Jupiter in 9th: Higher education. Donate ghee.
07:30,Kathmandu, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Wealth?,Rahu in 11th: Sudden money. Keep black stone.
11:45,Pokhara, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Love Life?,Moon in 7th: Emotional bond. Offer rice.
09:10,Biratnagar, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Job?,Sun in 10th: Authority post. Wear ruby.
15:20,Chitwan, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Health?,Mars in 6th: Fast recovery. Donate lentils.
13:00,Butwal, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Future?,Ketu in 9th: Spiritual path. Chant Om.
06:30,Dharan, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Business?,Mercury in 11th: Profit. Keep green plant.
08:15,Lalitpur, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Family?,Jupiter in 2nd: Family support. Offer banana.
14:45,Kathmandu, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,Career?,Saturn in 7th: Business growth. Wear iron ring.
10:00,Pokhara, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Marriage?,Venus in Lagna: Attractive spouse. Gift flowers.
16:30,Biratnagar, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Studies?,Mercury in 9th: Foreign degree. Donate ink.
11:11,Chitwan, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Wealth?,Moon in 11th: Income flow. Keep silver.
07:45,Butwal, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Love Life?,Mars in 5th: Passionate love. Wear coral.
13:20,Dharan, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Job?,Sun in 6th: Service job. Offer wheat.
09:00,Lalitpur, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Health?,Rahu in 1st: Avoid stress. Keep peacock feather.
15:30,Kathmandu, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Future?,Jupiter in 12th: Foreign success. Donate yellow cloth.
12:12,Pokhara, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Business?,Saturn in 11th: Long-term profit. Help poor.
08:30,Biratnagar, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Family?,Moon in 4th: Peaceful home. Offer curd.
14:00,Chitwan, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Career?,Mars in 10th: Bold decision. Chant Hanuman.
10:45,Butwal, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Marriage?,Venus in 2nd: Sweet voice spouse. Use honey.
16:15,Dharan, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Studies?,Mercury in 4th: Home study. Keep books clean.
11:30,Lalitpur, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Wealth?,Jupiter in 11th: Multiple sources. Donate fruits.
07:00,Kathmandu, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Love Life?,Moon in 5th: Romantic child. Gift toys.
13:45,Pokhara, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,Job?,Sun in 10th: Govt post. Wear ruby ring.
09:15,Biratnagar, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Health?,Saturn in 1st: Strong bones. Donate sesame.
15:00,Chitwan, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Future?,Rahu in 9th: Foreign guru. Keep silver elephant.
12:30,Butwal, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Business?,Mercury in 10th: Online success. Gift laptop.
08:00,Dharan, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Family?,Jupiter in 4th: Big house. Plant banana tree.
14:20,Lalitpur, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Career?,Mars in 1st: Self-made. Wear red coral.
10:10,Kathmandu, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Marriage?,Venus in 7th: Beautiful partner. Wear white.
16:40,Pokhara, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Studies?,Mercury in 5th: Creative mind. Write daily.
11:11,Biratnagar, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Wealth?,Moon in 2nd: Savings habit. Keep silver coin.
07:30,Chitwan, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Love Life?,Sun in 5th: Loyal lover. Offer water.
13:15,Butwal, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Job?,Saturn in 10th: Hard work pays. Feed crows.
09:45,Dharan, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Future?,Jupiter in 9th: Lucky travel. Wear yellow.
15:20,Lalitpur, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,Family?,Moon in 4th: Motherâ€™s love. Offer milk.
12:00,Kathmandu, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Health?,Rahu in 6th: Avoid junk. Keep black dog.
08:30,Pokhara, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Business?,Mercury in 11th: Network profit. Gift pen.
14:15,Biratnagar, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Career?,Mars in 10th: Leadership. Chant Hanuman.
10:00,Chitwan, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Marriage?,Venus in 7th: Happy union. Wear diamond.
16:30,Butwal, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Studies?,Jupiter in 5th: Topper. Donate books.
11:45,Dharan, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Wealth?,Saturn in 2nd: Slow wealth. Keep iron.
07:15,Lalitpur, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Love Life?,Moon in 5th: Pure love. Offer sweets.
13:00,Kathmandu, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Job?,Sun in 10th: Respect job. Wear ruby.
09:30,Pokhara, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Future?,Ketu in 12th: Spiritual growth. Meditate.
15:15,Biratnagar, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Family?,Jupiter in 4th: Big family. Plant tulsi.
12:12,Chitwan, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,Health?,Mars in 6th: Strong immunity. Donate blood.
08:45,Butwal, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Business?,Mercury in 7th: Partner success. Gift green.
14:20,Dharan, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Career?,Saturn in 10th: Long career. Wear blue sapphire.
10:00,Lalitpur, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Marriage?,Venus in 11th: Gainful match. Wear white.
16:30,Kathmandu, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Studies?,Mercury in 9th: Research success. Donate pen.
11:11,Pokhara, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Wealth?,Jupiter in 2nd: Speech income. Chant Guru mantra.
07:45,Biratnagar, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Love Life?,Moon in 7th: Soulmate. Keep silver glass.
13:20,Chitwan, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Job?,Sun in 10th: High post. Offer water to Sun.
09:00,Butwal, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Future?,Rahu in 9th: Unique path. Keep silver box.
15:30,Dharan, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Family?,Jupiter in 4th: Ancestral property. Respect elders.
12:12,Lalitpur, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Health?,Ketu in 6th: Detox needed. Fast Thursday.
08:30,Kathmandu, Nepal,Aries,Pisces,Gemini,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Business?,Mercury in 10th: E-commerce. Keep green cloth.
14:15,Pokhara, Nepal,Gemini,Taurus,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Career?,Mars in 10th: Startup success. Wear red coral.
10:45,Biratnagar, Nepal,Cancer,Gemini,Libra,Leo,Cancer,Leo,Virgo,Capricorn,Gemini,Sagittarius,Marriage?,Venus in 7th: Love marriage. Gift perfume.
16:20,Chitwan, Nepal,Virgo,Leo,Capricorn,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Studies?,Jupiter in 5th: Scholarship. Donate yellow items.
11:00,Butwal, Nepal,Scorpio,Libra,Virgo,Gemini,Cancer,Leo,Virgo,Scorpio,Aries,Libra,Wealth?,Saturn in 11th: Fixed deposit. Help laborers.
07:30,Dharan, Nepal,Aquarius,Capricorn,Libra,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Love Life?,Moon in 5th: First love. Offer white flowers.
13:15,Lalitpur, Nepal,Sagittarius,Scorpio,Cancer,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Job?,Sun in 10th: Manager role. Wear gold chain.
09:45,Kathmandu, Nepal,Taurus,Leo,Virgo,Libra,Virgo,Libra,Scorpio,Sagittarius,Cancer,Capricorn,Future?,Rahu in 12th: Foreign job. Keep black thread.
15:20,Pokhara, Nepal,Capricorn,Sagittarius,Leo,Capricorn,Aquarius,Pisces,Aries,Libra,Scorpio,Taurus,Family?,Jupiter in 2nd: Joint family. Share food.
12:00,Biratnagar, Nepal,Libra,Virgo,Scorpio,Capricorn,Libra,Scorpio,Sagittarius,Aquarius,Cancer,Capricorn,Health?,Mars in 1st: High energy. Play sports.
08:15,Chitwan, Nepal,Pisces,Aquarius,Taurus,Scorpio,Sagittarius,Capricorn,Aquarius,Pisces,Virgo,Pisces,Business?,Mercury in 11th: Online sale. Keep laptop clean.
14:30,Butwal, Nepal,Leo,Cancer,Scorpio,Virgo,Leo,Virgo,Libra,Capricorn,Gemini,Sagittarius,Career?,Saturn in 10th: Promotion delay. Be patient.
